datetime,app_id,dev_id,time,FixAge,TimeActive,batteryVoltage,boardTemperature,imei,lastResetCause,timestamp,waterEC,waterTemperature,Lat,Lon,SatInFix,altitude,course,speed,name
2020-02-25 00:00:20.406,mijnomgeving,357518080494875,1582588820406,8.0,54924.0,4.16,8.0,357518080494875.0,32.0,1582588818.0,1435.0,9.54,52.6575246,5.6144728,4.0,57.0,44.0,1.0,EC 311
2020-02-25 00:00:29.113,mijnomgeving,357518080495120,1582588829113,0.0,20717.0,4.12,8.0,357518080495120.0,32.0,1582588793.0,1564.0,9.72,52.3337531,5.3126219,8.0,-5.0,0.0,0.0,EC 303
2020-02-25 00:00:31.092,mijnomgeving,357518080494859,1582588831092,9.0,177326.0,4.16,8.0,357518080494859.0,32.0,1582588824.0,1361.0,9.72,52.540864,5.5888732999999995,4.0,-55.0,0.0,0.0,EC 302
2020-02-25 00:00:32.619,mijnomgeving,357518080165368,1582588832619,23.0,19398630.0,3.67,10.0,357518080165368.0,16.0,1582586919.0,1527.0,10.07,52.3399531,4.9116482999999995,4.0,-37.0,0.0,0.0,EC 208
2020-02-25 00:00:33.135,mijnomgeving,357518080165368,1582588833135,32.0,19399539.0,3.67,11.0,357518080165368.0,16.0,1582587828.0,1512.0,10.07,52.33964,4.91112,7.0,32.0,0.0,0.0,EC 208
2020-02-25 00:00:43.122,mijnomgeving,357518080495021,1582588843122,1.0,124218.0,4.07,8.0,357518080495021.0,32.0,1582588845.0,0.0,10.95,53.1565099,7.0210672,5.0,-40.0,249.0,0.0,EC 325
2020-02-25 00:01:03.875,mijnomgeving,357518080332257,1582588863875,1.0,150311.0,4.08,8.0,357518080332257.0,32.0,1582588852.0,653.0,9.8,51.8982966,4.4233179,6.0,12.0,0.0,0.0,EC 240
2020-02-25 00:02:07.315,mijnomgeving,357518080163405,1582588927315,14.0,83725.0,4.11,7.0,357518080163405.0,32.0,1582588927.0,1836.0,9.8,52.3730489,4.9161833999999995,5.0,57.0,14.0,0.0,EC 226
2020-02-25 00:02:11.626,mijnomgeving,357518080165475,1582588931626,15.0,11943959.0,4.06,8.0,357518080165475.0,1.0,1582588943.0,2123.0,9.54,52.3719794,4.9259803,4.0,-22.0,43.0,0.0,EC 201
2020-02-25 00:02:19.307,mijnomgeving,357518080495187,1582588939307,19.0,89136.0,4.18,8.0,357518080495187.0,32.0,1582588940.0,523.0,9.54,52.6352869,5.8235709,4.0,-1.0,50.0,0.0,EC 304
