datetime,app_id,dev_id,time,FixAge,Lat,Lon,SatInFix,TimeActive,altitude,batteryVoltage,boardTemperature,course,imei,lastResetCause,speed,timestamp,waterEC,waterTemperature,pH,name
2020-03-22 00:00:09.454,mijnomgeving,357518080166663,1584835209454,22.0,51.8982702,4.4232885,7.0,92732.0,1.0,4.2,2.0,223.0,357518080166663.0,32.0,0.0,1584835211.0,745.0,11.04,,EC 243
2020-03-22 00:00:19.834,mijnomgeving,357518080165475,1584835219834,1.0,52.3720203,4.9252707000000004,6.0,14190349.0,-6.0,4.16,1.0,0.0,357518080165475.0,1.0,0.0,1584835229.0,1755.0,9.8,,EC 201
2020-03-22 00:00:21.252,mijnomgeving,357518080494768,1584835221252,11.0,52.4166819,5.2261721,4.0,55828.0,-27.0,4.2,1.0,211.0,357518080494768.0,32.0,0.0,1584835212.0,1867.0,10.6,,EC 305
2020-03-22 00:01:18.514,mijnomgeving,357518080163249,1584835278514,22.0,,,,102632.0,,4.17,1.0,,357518080163249.0,32.0,,1584835279.0,900.0,9.89,,EC 212
2020-03-22 00:01:37.490,mijnomgeving,357518080495047,1584835297490,0.0,52.2261446,5.1747079,6.0,28818.0,13.0,4.17,0.0,17.0,357518080495047.0,32.0,0.0,1584835292.0,147.0,7.07,,EC 322
2020-03-22 00:02:34.685,mijnomgeving,357518080494859,1584835354685,1.0,52.5411142,5.5893564,4.0,83718.0,0.0,4.16,-2.0,35.0,357518080494859.0,32.0,0.0,1584835355.0,2437.0,9.89,,EC 302
2020-03-22 00:02:36.675,mijnomgeving,357518080495161,1584835356675,31.0,52.4998408,5.4527091,6.0,7445754.0,0.0,4.21,1.0,239.0,357518080495161.0,32.0,0.0,1584835359.0,987.0,9.27,,EC 315
2020-03-22 00:02:42.447,mijnomgeving,357518080166887,1584835362447,22.0,52.2510915,5.0502616,7.0,12924972.0,-10.0,3.89,-1.0,53.0,357518080166887.0,4.0,0.0,1584835371.0,752.0,9.89,,EC 200
2020-03-22 00:02:56.800,mijnomgeving,357518080494834,1584835376800,1.0,52.4257783,5.4208271,6.0,63017.0,-4.0,4.12,-3.0,0.0,357518080494834.0,32.0,0.0,1584835362.0,1515.0,9.72,,EC 314
2020-03-22 00:03:09.413,mijnomgeving,357518080166754,1584835389413,30.0,52.3536347,4.9247373,6.0,22064477.0,32.0,4.17,2.0,0.0,357518080166754.0,16.0,0.0,1584835388.0,669.0,10.16,,EC 204
2020-03-22 00:03:51.821,mijnomgeving,357518080495088,1584835431821,255.0,2.55e-05,2.55e-05,0.0,142222.0,0.0,4.2,20.0,0.0,357518080495088.0,32.0,0.0,1584835445.0,587.0,24.08,28.396,EC 321
2020-03-22 00:03:58.827,mijnomgeving,357518080494909,1584835438827,1.0,52.2261434,5.1746708,6.0,71118.0,13.0,4.17,-2.0,9.0,357518080494909.0,32.0,0.0,1584835437.0,118.0,7.34,,EC 329
2020-03-22 00:04:10.745,mijnomgeving,357518080328131,1584835450745,3.0,52.3868262,4.9174983,5.0,5414.0,-2.0,4.02,2.0,0.0,357518080328131.0,32.0,0.0,1584835448.0,49.0,9.1,,EC 230
2020-03-22 00:04:15.837,mijnomgeving,357518080166960,1584835455837,23.0,52.7137263,6.878804,4.0,56734.0,99.0,4.22,-2.0,0.0,357518080166960.0,32.0,0.0,1584835454.0,479.0,10.33,,EC 232
2020-03-22 00:04:18.854,mijnomgeving,357518080495120,1584835458854,14.0,52.3338347,5.3125028,5.0,22531.0,6.0,4.2,-1.0,211.0,357518080495120.0,32.0,0.0,1584835455.0,1493.0,9.19,,EC 303
2020-03-22 00:04:48.134,mijnomgeving,357518080330764,1584835488134,22.0,51.8211109,4.6109926,8.0,128732.0,0.0,4.05,1.0,6.0,357518080330764.0,32.0,0.0,1584835491.0,30.0,6.37,,EC 244
2020-03-22 00:05:08.143,mijnomgeving,357518080332265,1584835508143,3.0,52.3921641,4.9373657,5.0,17113.0,0.0,3.85,0.0,35.0,357518080332265.0,32.0,0.0,1584835506.0,1762.0,10.16,,EC 221
2020-03-22 00:05:41.463,mijnomgeving,357518080163173,1584835541463,7.0,52.7215613,6.8197217,4.0,250217.0,27.0,4.11,-4.0,245.0,357518080163173.0,32.0,0.0,1584835546.0,460.0,9.98,,EC 231
2020-03-22 00:05:42.399,mijnomgeving,357518080170889,1584835542399,7.0,52.0145472,4.2955027,4.0,460817.0,10.0,4.189999999999999,-2.0,5.0,357518080170889.0,32.0,1.0,1584835555.0,1159.0,12.45,,EC 236
2020-03-22 00:05:54.351,mijnomgeving,357518080330582,1584835554351,4.0,52.3731138,4.9460443,5.0,25213.0,12.0,4.11,4.0,31.0,357518080330582.0,32.0,0.0,1584835552.0,1674.0,10.6,,EC 219
2020-03-22 00:05:57.344,mijnomgeving,357518080497662,1584835557344,19.0,52.2261715,5.1746879,7.0,209745.0,16.0,4.22,1.0,35.0,357518080497662.0,32.0,0.0,1584835555.0,161.0,7.51,,EC 328
2020-03-22 00:06:14.406,mijnomgeving,357518080497639,1584835574406,2.0,52.6591015,5.660487,4.0,95420.0,-9.0,4.21,1.0,54.0,357518080497639.0,32.0,3.0,1584835573.0,2392.0,10.51,,EC 308
2020-03-22 00:06:18.501,mijnomgeving,357518080495526,1584835578501,1.0,52.226095,5.1746802,4.0,33318.0,15.0,4.17,-2.0,0.0,357518080495526.0,32.0,0.0,1584835577.0,154.0,6.98,,EC 327
2020-03-22 00:07:00.158,mijnomgeving,357518080494818,1584835620158,1.0,52.8087642,5.7449955,4.0,13519.0,-64.0,4.23,-1.0,9.0,357518080494818.0,32.0,0.0,1584835609.0,1675.0,10.86,,EC 309
2020-03-22 00:07:13.395,mijnomgeving,357518080171390,1584835633395,12.0,52.032052,5.3033075,5.0,22695349.0,-55.0,4.18,0.0,231.0,357518080171390.0,64.0,0.0,1584835653.0,811.0,9.54,,EC 202
2020-03-22 00:07:48.832,mijnomgeving,357518080494776,1584835668832,16.0,52.2262457,5.1747784,5.0,4533.0,11.0,4.17,0.0,12.0,357518080494776.0,32.0,0.0,1584835665.0,154.0,7.34,,EC 330
2020-03-22 00:08:43.928,mijnomgeving,357518080497423,1584835723928,1.0,52.5230198,5.5903135,5.0,313218.0,-3.0,4.189999999999999,-1.0,16.0,357518080497423.0,32.0,0.0,1584835735.0,2854.0,9.36,,EC 318
2020-03-22 00:09:27.911,mijnomgeving,357518080497696,1584835767911,1.0,52.5173024,5.5093689,6.0,84617.0,-6.0,4.17,-1.0,25.0,357518080497696.0,32.0,0.0,1584835767.0,1104.0,9.98,,EC 319
