datetime,app_id,dev_id,time,FixAge,TimeActive,batteryVoltage,boardTemperature,imei,lastResetCause,timestamp,waterEC,waterTemperature,Lat,Lon,SatInFix,altitude,course,speed,pH,name
2020-08-30 00:00:22.540,mijnomgeving,357518080495153,1598745622540,1.0,52218.0,4.189999999999999,13.0,357518080495153.0,32.0,1598745622.0,2355.0,17.56,52.5789292,5.7568242,6.0,-6.0,232.0,0.0,,EC 313
2020-08-30 00:01:10.135,mijnomgeving,357518080328131,1598745670135,6.0,89116.0,4.11,13.0,357518080328131.0,32.0,1598745671.0,4512.0,18.88,52.3916538,4.9360078,4.0,62.0,51.0,0.0,,EC 230
2020-08-30 00:01:21.225,mijnomgeving,357518080166580,1598745681225,15.0,106225.0,4.16,14.0,357518080166580.0,32.0,1598745678.0,823.0,19.77,52.3603199,4.8154245,5.0,38.0,45.0,0.0,,EC 224
2020-08-30 00:01:23.651,mijnomgeving,357518080495021,1598745683651,44.0,40562.0,4.08,21.0,357518080495021.0,32.0,1598745676.0,1.0,20.82,53.1564041,7.0210553,6.0,9.0,246.0,0.0,,EC 325
2020-08-30 00:02:01.754,mijnomgeving,357518080495104,1598745721754,0.0,33318.0,4.189999999999999,12.0,357518080495104.0,32.0,1598745720.0,508.0,16.5,52.3373031,5.5375657,4.0,-9.0,13.0,0.0,,EC 312
2020-08-30 00:02:18.782,mijnomgeving,357518080164395,1598745738782,4.0,8114.0,4.189999999999999,13.0,357518080164395.0,32.0,1598745736.0,112.0,20.56,51.8982375,4.4232905,4.0,-9.0,0.0,0.0,,EC 241
2020-08-30 00:02:30.559,mijnomgeving,357518080167000,1598745750559,11.0,165621.0,4.12,12.0,357518080167000.0,32.0,1598745756.0,777.0,19.32,52.1741537,5.0361957,5.0,1.0,0.0,0.0,,EC 228
2020-08-30 00:02:40.692,mijnomgeving,357518080332265,1598745760692,23.0,10833.0,4.14,12.0,357518080332265.0,32.0,1598745758.0,150.0,19.24,52.3922098,4.9373277,5.0,12.0,7.0,0.0,,EC 221
2020-08-30 00:03:25.918,mijnomgeving,357518080495161,1598745805918,24.0,137735.0,4.21,13.0,357518080495161.0,32.0,1598745810.0,622.0,17.03,52.4998552,5.4536472,4.0,-53.0,59.0,1.0,,EC 315
2020-08-30 00:03:42.955,mijnomgeving,357518080330764,1598745822955,255.0,71230.0,3.8200000000000003,21.0,357518080330764.0,32.0,1598745818.0,1884.0,20.03,2.55e-05,2.55e-05,0.0,0.0,0.0,0.0,,EC 244
2020-08-30 00:04:06.495,mijnomgeving,357518080497662,1598745846495,1.0,100818.0,4.25,12.0,357518080497662.0,32.0,1598745849.0,467.0,16.86,59.7643434,17.5733001,7.0,-3.0,246.0,0.0,,EC 328
2020-08-30 00:04:44.043,mijnomgeving,357518080495195,1598745884043,1.0,26118.0,4.22,11.0,357518080495195.0,32.0,1598745869.0,1782.0,17.74,52.3011005,5.360552,6.0,3.0,254.0,0.0,,EC 301
2020-08-30 00:04:46.983,mijnomgeving,357518080497696,1598745886983,1.0,12617.0,4.18,13.0,357518080497696.0,32.0,1598745884.0,627.0,17.47,52.5171773,5.5095586,6.0,10.0,238.0,0.0,,EC 319
2020-08-30 00:05:28.078,mijnomgeving,357518080494834,1598745928078,13.0,56730.0,4.16,11.0,357518080494834.0,32.0,1598745880.0,1705.0,17.83,52.4257066,5.4207425,4.0,7.0,0.0,0.0,,EC 314
2020-08-30 00:05:41.090,mijnomgeving,357518080497423,1598745941090,1.0,37818.0,4.189999999999999,13.0,357518080497423.0,32.0,1598745935.0,2612.0,17.56,52.5230702,5.5901967,6.0,7.0,13.0,0.0,,EC 318
2020-08-30 00:05:49.082,mijnomgeving,357518080495120,1598745949082,1.0,5418.0,4.189999999999999,11.0,357518080495120.0,32.0,1598745946.0,1281.0,16.94,52.3337771,5.3126481,6.0,-12.0,220.0,0.0,,EC 303
2020-08-30 00:05:56.092,mijnomgeving,357518080494826,1598745956092,1.0,16218.0,4.2,12.0,357518080494826.0,32.0,1598745954.0,206.0,16.33,60.0244517,17.8150649,7.0,28.0,205.0,0.0,,EC 323
2020-08-30 00:07:08.236,mijnomgeving,357518080494776,1598746028236,1.0,8118.0,4.16,10.0,357518080494776.0,32.0,1598746018.0,583.0,14.83,52.3882307,5.5645629,6.0,-15.0,245.0,0.0,,EC 330
2020-08-30 00:07:35.270,mijnomgeving,357518080497639,1598746055270,0.0,105318.0,4.18,15.0,357518080497639.0,32.0,1598746056.0,1912.0,17.65,52.6594414,5.6606816,4.0,29.0,8.0,0.0,,EC 308
2020-08-30 00:08:09.078,mijnomgeving,357518080163249,1598746089078,19.0,94528.0,4.18,11.0,357518080163249.0,32.0,1598746090.0,709.0,17.12,,,,,,,,EC 212
